author;date;genre;wikipedia;title;img;Musee;Type
Pablo Picasso;1881 - 1973;Cubism;http://en.wikipedia.org/wiki/Pablo_Picasso;Woman playing guitar or mandolin;https://upload.wikimedia.org/wikipedia/en/c/ca/Pablo_Picasso%2C_1910-11%2C_Guitariste%2C_La_mandoliniste%2C_Woman_playing_guitar%2C_oil_on_canvas.jpg;;Tableau
Pablo Picasso;1881 - 1973;Cubism;http://en.wikipedia.org/wiki/Pablo_Picasso;"Le GuitaristeDu ""Cubisme""";https://upload.wikimedia.org/wikipedia/en/9/93/Pablo_Picasso%2C_c.1911%2C_Le_Guitariste.jpg;Albert Gleizes;Tableau
Pablo Picasso;1881 - 1973;Cubism;http://en.wikipedia.org/wiki/Pablo_Picasso;Still Life with a Bottle of Rum;https://upload.wikimedia.org/wikipedia/en/7/7f/Pablo_Picasso%2C_1911%2C_Still_Life_with_a_Bottle_of_Rum%2C_oil_on_canvas%2C_61.3_x_50.5_cm%2C_Metropolitan_Museum_of_Art%2C_New_York.jpg;Metropolitan Museum of Art;Tableau
Pablo Picasso;1881 - 1973;Cubism;http://en.wikipedia.org/wiki/Pablo_Picasso;The Poet (Le poète);https://upload.wikimedia.org/wikipedia/en/d/dc/Pablo_Picasso%2C_1911%2C_The_Poet_%28Le_po%C3%A8te%29%2C_C%C3%A9ret%2C_oil_on_linen%2C_131.2_%C3%97_89.5_cm%2C_The_Solomon_R._Guggenheim_Foundation%2C_Peggy_Guggenheim_Collection%2C_Venice.jpg;;Tableau
Pablo Picasso;1881 - 1973;Cubism;http://en.wikipedia.org/wiki/Pablo_Picasso;Violon (Violin);https://upload.wikimedia.org/wikipedia/en/3/3c/Pablo_Picasso%2C_1911-12%2C_Violon_%28Violin%29%2C_oil_on_canvas%2C_Kr%C3%B6ller-M%C3%BCller_Museum%2C_Otterlo%2C_Netherlands.jpg;Wilhelm Uhde;Tableau
Amedeo Modigliani;1884 - 1920;Expressionism;http://en.wikipedia.org/wiki/Amedeo_Modigliani;Portrait of Maude Abrantes;https://upload.wikimedia.org/wikipedia/commons/5/56/Amedeo_Modigliani%2C_1907%2C_Portrait_of_Maude_Abrantes%2C_oil_on_canvas%2C_81_x_54_cm%2C_Reuben_and_Edith_Hecht_Museum%2C_Haifa.jpg;Hecht Museum;Tableau
Amedeo Modigliani;1884 - 1920;Expressionism;http://en.wikipedia.org/wiki/Amedeo_Modigliani;Novo Pilota;https://upload.wikimedia.org/wikipedia/commons/4/46/Amedeo_Modigliani_-_Paul_Guillaume%2C_Novo_Pilota_-_Google_Art_Project.jpg;Paul Guillaume;Tableau
Amedeo Modigliani;1884 - 1920;Expressionism;http://en.wikipedia.org/wiki/Amedeo_Modigliani;Bride and Groom;https://upload.wikimedia.org/wikipedia/commons/0/08/Bride_and_Groom.jpg;;Tableau
Amedeo Modigliani;1884 - 1920;Expressionism;http://en.wikipedia.org/wiki/Amedeo_Modigliani;Jacques and Berthe Lipchitz;https://upload.wikimedia.org/wikipedia/commons/c/cf/Amedeo_Modigliani_-_Jacques_and_Berthe_Lipchitz_-_Google_Art_Project.jpg;;Tableau
Paul Klee;1879 – 1940;Expressionism;https://en.wikipedia.org/wiki/Paul_Klee;Dame mit Sonnenschirm;https://upload.wikimedia.org/wikipedia/commons/b/bd/Paul-Klee-Dame-mit-Sonnenschirm.jpg;Zentrum Paul Klee;Tableau
