author;date;genre;title;museum;type;imgURL
Pablo Picasso;1881 - 1973;Cubism;Guitariste, La mandoliniste (Woman playing guitar or mandolin);;Tableau;https://upload.wikimedia.org/wikipedia/en/c/ca/Pablo_Picasso%2C_1910-11%2C_Guitariste%2C_La_mandoliniste%2C_Woman_playing_guitar%2C_oil_on_canvas.jpg
Pablo Picasso;1881 - 1973;Cubism;"Le GuitaristeDu ""Cubisme""";Albert Gleizes;Tableau;https://upload.wikimedia.org/wikipedia/en/9/93/Pablo_Picasso%2C_c.1911%2C_Le_Guitariste.jpg
Pablo Picasso;1881 - 1973;Cubism;Still Life with a Bottle of Rum;Metropolitan Museum of Art;Tableau;https://upload.wikimedia.org/wikipedia/en/7/7f/Pablo_Picasso%2C_1911%2C_Still_Life_with_a_Bottle_of_Rum%2C_oil_on_canvas%2C_61.3_x_50.5_cm%2C_Metropolitan_Museum_of_Art%2C_New_York.jpg
Pablo Picasso;1881 - 1973;Cubism;The Poet (Le poðte);;Tableau;https://upload.wikimedia.org/wikipedia/en/d/dc/Pablo_Picasso%2C_1911%2C_The_Poet_%28Le_po%C3%A8te%29%2C_C%C3%A9ret%2C_oil_on_linen%2C_131.2_%C3%97_89.5_cm%2C_The_Solomon_R._Guggenheim_Foundation%2C_Peggy_Guggenheim_Collection%2C_Venice.jpg
Pablo Picasso;1881 - 1973;Cubism;Violon (Violin);Wilhelm Uhde;Tableau;https://upload.wikimedia.org/wikipedia/en/3/3c/Pablo_Picasso%2C_1911-12%2C_Violon_%28Violin%29%2C_oil_on_canvas%2C_Kr%C3%B6ller-M%C3%BCller_Museum%2C_Otterlo%2C_Netherlands.jpg
Amedeo Modigliani;1884 - 1920;Expressionism;Portrait of Maude Abrantes;Hecht Museum;Tableau;https://upload.wikimedia.org/wikipedia/commons/5/56/Amedeo_Modigliani%2C_1907%2C_Portrait_of_Maude_Abrantes%2C_oil_on_canvas%2C_81_x_54_cm%2C_Reuben_and_Edith_Hecht_Museum%2C_Haifa.jpg
Amedeo Modigliani;1884 - 1920;Expressionism;Novo Pilota;Paul Guillaume;Tableau;https://upload.wikimedia.org/wikipedia/commons/4/46/Amedeo_Modigliani_-_Paul_Guillaume%2C_Novo_Pilota_-_Google_Art_Project.jpg
Amedeo Modigliani;1884 - 1920;Expressionism;Bride and Groom;;Tableau;https://upload.wikimedia.org/wikipedia/commons/0/08/Bride_and_Groom.jpg
Amedeo Modigliani;1884 - 1920;Expressionism;Jacques and Berthe Lipchitz;;Tableau;https://upload.wikimedia.org/wikipedia/commons/c/cf/Amedeo_Modigliani_-_Jacques_and_Berthe_Lipchitz_-_Google_Art_Project.jpg
Amedeo Modigliani;1884 - 1920;Expressionism;Lðon Indenbaum;Henry and Rose Pearlman Collection;Tableau;https://upload.wikimedia.org/wikipedia/commons/6/6c/1916%2C_Modigliani%2C_Leon_Indenbaum.jpg
Amedeo Modigliani;1884 - 1920;Expressionism;Portrait of Beatrice Hastings;;Tableau;https://upload.wikimedia.org/wikipedia/commons/d/d8/Portrait_of_Beatrice_Hastings_Amedeo_Modigliani_1916.jpeg
Amedeo Modigliani;1884 - 1920;Expressionism;Portrait of Moise Kisling;;Tableau;https://upload.wikimedia.org/wikipedia/commons/b/bc/Amedeo_Modigliani_032.jpg
Amedeo Modigliani;1884 - 1920;Expressionism;Madame Kisling,;;Tableau;https://upload.wikimedia.org/wikipedia/commons/1/16/Amedeo_Modigliani_-_Madame_Kisling_%28ca.1917%29.jpg
Amedeo Modigliani;1884 - 1920;Expressionism;Portrait of the Artist's Wife;Jeanne Hðbuterne;Tableau;https://upload.wikimedia.org/wikipedia/commons/4/4e/Portrait-of-the-Artist%27s-Wife_1918_Amedeo_Modigliani.jpg
Amedeo Modigliani;1884 - 1920;Expressionism;Jeanne Hðbuterne with Yellow Sweater;;Tableau;https://upload.wikimedia.org/wikipedia/commons/c/c5/Amedeo_Modigliani_025.jpg
Paul Klee;1879 ð 1940;Expressionism;Dame mit Sonnenschirm;Zentrum Paul Klee;Tableau;https://upload.wikimedia.org/wikipedia/commons/b/bd/Paul-Klee-Dame-mit-Sonnenschirm.jpg
Paul Klee;1879 ð 1940;Expressionism;Hilterfingen;Solomon R. Guggenheim Museum;Tableau;https://upload.wikimedia.org/wikipedia/commons/e/e9/GUGG_Hilterfingen.jpg
Paul Klee;1879 ð 1940;Expressionism;Jungfrau im Baum;Museum of Modern Art;Tableau;https://upload.wikimedia.org/wikipedia/commons/e/ec/Paul_Klee%2C_Inventionen_Nr._3%2C_Jungfrau_im_Baum_%281903%29.jpg
Paul Klee;1879 ð 1940;Expressionism;Zwei Mðnner, einander in hðherer Stellung vermutend, begegnen sich;;Tableau;https://upload.wikimedia.org/wikipedia/commons/f/f9/Begruessung.jpg
Paul Klee;1879 ð 1940;Expressionism;Aged Phoenix;Solomon R. Guggenheim Museum;Tableau;https://upload.wikimedia.org/wikipedia/commons/f/fb/GUGG_Aged_Phoenix_%28Invention_9%29.jpg
Paul Klee;1879 ð 1940;Expressionism;Fenster und Palmen;Kunsthaus Zðrich;Tableau;https://upload.wikimedia.org/wikipedia/commons/f/f7/Fenster_u._Palmen%2C_1914.jpg
Paul Klee;1879 ð 1940;Expressionism;In den Hðusern von St. Germain;Zentrum Paul Klee;Tableau;https://upload.wikimedia.org/wikipedia/commons/5/58/Paul_Klee%2C_In_den_H%C3%A4usern_von_St._Germain.jpg
Paul Klee;1879 ð 1940;Expressionism;Fðhn im Marcðschen Garten;Lenbachhaus;Tableau;https://upload.wikimedia.org/wikipedia/commons/b/bc/Paul_Klee%2C_F%C3%B6hn_im_Marc%27schen_Garten%2C_1915.jpg
Paul Klee;1879 ð 1940;Expressionism;Acrobats;Solomon R. Guggenheim Museum;Tableau;https://upload.wikimedia.org/wikipedia/commons/9/9e/GUGG_Acrobats.jpg
Paul Klee;1879 ð 1940;Expressionism;Red/Green Architecture (yellow/violet gradation);Yale University Art Gallery;Tableau;https://upload.wikimedia.org/wikipedia/commons/6/63/Red_Green_Architecture_yellow_violet_gradation_by_Paul_Klee.jpeg
Claude Monet;1840 - 1926;Impressionism;View at Rouelles, Le Havre;Courbet;Tableau;https://upload.wikimedia.org/wikipedia/commons/4/44/Monet%2C_Claude_-_View_At_Rouelles%2C_Le_Havre_%281858%29.jpg
Claude Monet;1840 - 1926;Impressionism;Mouth of the Seine at Honfleur;Norton Simon Foundation;Tableau;https://upload.wikimedia.org/wikipedia/commons/4/42/Claude_Monet_-_Mouth_of_the_Seine.jpg
Claude Monet;1840 - 1926;Impressionism;The Green Wave;Metropolitan Museum of Art;Tableau;https://upload.wikimedia.org/wikipedia/commons/c/c2/Claude_Monet_-_La_Vague_Verte.jpg
Claude Monet;1840 - 1926;Impressionism;Women in the Garden;Musðe d'Orsay;Tableau;https://upload.wikimedia.org/wikipedia/commons/9/95/Claude_Monet_024.jpg
Claude Monet;1840 - 1926;Impressionism;Woman in the Garden;Hermitage;Tableau;https://upload.wikimedia.org/wikipedia/commons/0/0e/Claude_Monet_022.jpg
Claude Monet;1840 - 1926;Impressionism;Garden at Sainte-Adresse;;Tableau;https://upload.wikimedia.org/wikipedia/commons/a/a0/Claude_Monet_-_Jardin_%C3%A0_Sainte-Adresse.jpg
Claude Monet;1840 - 1926;Impressionism;The Luncheon;Stðdel;Tableau;https://upload.wikimedia.org/wikipedia/commons/9/9e/Claude_Monet_-_The_Luncheon_-_Google_Art_Project.jpg
Claude Monet;1840 - 1926;Impressionism;La Grenouillðre;;Tableau;https://upload.wikimedia.org/wikipedia/commons/6/67/Claude_Monet_La_Grenouill%C3%A9re.jpg
Claude Monet;1840 - 1926;Impressionism;On the Bank of the Seine, Bennecourt;Art Institute of Chicago;Tableau;https://upload.wikimedia.org/wikipedia/commons/f/f8/Claude_Monet_-_On_the_Bank_of_the_Seine%2C_Bennecourt_-_1922.427_-_Art_Institute_of_Chicago.jpg
Claude Monet;1840 - 1926;Impressionism;The MagpieSnow at Argenteuil;;Tableau;https://upload.wikimedia.org/wikipedia/commons/7/78/Claude_Monet_-_The_Magpie_-_Google_Art_Project.jpg
Henri Matisse;1869 - 1954;Impressionism;Gustave Moreau's Studio;;Tableau;https://upload.wikimedia.org/wikipedia/en/b/b0/Matisse_the_study_of_moreau.jpg
Henri Matisse;1869 - 1954;Impressionism;Blue Pot and Lemon;Hermitage Museum;Tableau;https://upload.wikimedia.org/wikipedia/en/8/8d/Matisse_-_Blue_Pot_and_Lemon_%281897%29.jpg
Henri Matisse;1869 - 1954;Impressionism;Le Mur Rose;Jewish Museum Frankfurt;Tableau;https://upload.wikimedia.org/wikipedia/en/f/f8/Matisse_Mur_Rose.jpg
Henri Matisse;1869 - 1954;Impressionism;Fruit and Coffeepot;Hermitage Museum;Tableau;https://upload.wikimedia.org/wikipedia/en/2/22/Matisse_-_Fruit_and_Coffeepot_%281898%29.jpg
Henri Matisse;1869 - 1954;Impressionism;Vase of Sunflowers;Hermitage Museum;Tableau;https://upload.wikimedia.org/wikipedia/en/2/2f/Matisse_-_Vase_of_Sunflowers_%281898%29.jpg
Henri Matisse;1869 - 1954;Impressionism;Study of a Nude;Bridgestone Museum of Art;Tableau;https://upload.wikimedia.org/wikipedia/en/d/dd/Study_of_a_nude_by_Matisse.jpg
Henri Matisse;1869 - 1954;Impressionism;Still Life with Compote, Apples and Oranges,;The Cone Collection;Tableau;https://upload.wikimedia.org/wikipedia/en/5/50/Henri_Matisse%2C_1899%2C_Still_Life_with_Compote%2C_Apples_and_Oranges%2C_oil_on_canvas%2C_46.4_x_55.6_cm%2C_The_Cone_Collection%2C_Baltimore_Museum_of_Art.jpg
Henri Matisse;1869 - 1954;Impressionism;Crockery on a Table;Hermitage Museum;Tableau;https://upload.wikimedia.org/wikipedia/en/b/b1/Matisse_-_Crockery_on_a_Table_%281900%29.jpg
Henri Matisse;1869 - 1954;Impressionism;Luxembourg Gardens;Hermitage Museum;Tableau;https://upload.wikimedia.org/wikipedia/en/b/bf/Matisse_-_Luxembourg_Gardens_%281901%29.jpg
Henri Matisse;1869 - 1954;Impressionism;Dishes and Fruit;Hermitage Museum;Tableau;https://upload.wikimedia.org/wikipedia/en/4/47/Matisse_-_Dishes_and_Fruit_%281901%29.jpg
Camille Pissarro;1830 - 1903;Impressionism;Boulevard Montmartre ð Paris;Hermitage Museum;Tableau;https://upload.wikimedia.org/wikipedia/commons/5/5d/Pissarro_Camille_-_Boulevard_Montmartre_%C3%A0_Paris.jpg
Camille Pissarro;1830 - 1903;Impressionism;Boulevard Montmartre: Mardi Gras;Hammer Museum;Tableau;https://upload.wikimedia.org/wikipedia/commons/4/40/Boulevard_Montmartre-_Mardi_Gras_%28frameless%29.jpg
Camille Pissarro;1830 - 1903;Impressionism;Boulevard Montmartre, morning, cloudy weather;National Gallery of Victoria;Tableau;https://upload.wikimedia.org/wikipedia/commons/7/79/Camille_Pissarro_-_Boulevard_Montmartre%2C_morning%2C_cloudy_weather_-_Google_Art_Project.jpg
